user_id,timestamp,event_type,amount
U1860,2026-01-08 20:00:00,view,0.0
U1466,2026-01-11 23:00:00,view,0.0
U4444,2026-01-24 02:00:00,view,0.0
U2685,2026-01-24 11:00:00,view,0.0
U3433,2026-01-21 00:00:00,view,0.0
U5555,2026-02-13 16:00:00,view,0.0
U1474,2026-02-11 15:00:00,view,0.0
U2806,2026-02-16 18:00:00,view,0.0
U2899,2026-02-26 02:00:00,view,0.0
U4556,2026-01-21 08:00:00,view,0.0
U3435,2026-01-14 17:00:00,purchase,198.85
U3612,2026-01-28 14:00:00,view,0.0
U2478,2026-01-08 14:00:00,view,0.0
U1034,2026-02-05 17:00:00,purchase,334.64
U4073,2026-02-23 09:00:00,view,0.0
U4843,2026-01-18 11:00:00,view,0.0
U1161,2026-02-05 13:00:00,view,0.0
U5911,2026-01-14 22:00:00,view,0.0
U2275,2026-02-09 20:00:00,view,0.0
U1337,2026-01-24 12:00:00,view,0.0
U3062,2026-01-25 06:00:00,view,0.0
U3568,2026-02-13 07:00:00,add_to_cart,0.0
U2495,2026-02-20 16:00:00,view,0.0
U1391,2026-02-02 04:00:00,view,0.0
U4561,2026-02-10 06:00:00,view,0.0
U1200,2026-02-03 00:00:00,view,0.0
U5598,2026-01-24 04:00:00,view,0.0
U3731,2026-01-27 02:00:00,view,0.0
U3690,2026-01-26 22:00:00,add_to_cart,0.0
U5493,2026-01-09 14:00:00,view,0.0
U2484,2026-02-01 06:00:00,view,0.0
U1563,2026-01-04 04:00:00,view,0.0
U2678,2026-02-05 12:00:00,add_to_cart,0.0
U2722,2026-01-28 01:00:00,view,0.0
U3729,2026-02-26 20:00:00,add_to_cart,0.0
U3693,2026-02-13 11:00:00,view,0.0
U2363,2026-01-11 22:00:00,add_to_cart,0.0
U4302,2026-01-01 19:00:00,purchase,182.76
U2282,2026-01-08 08:00:00,view,0.0
U5413,2026-02-20 09:00:00,view,0.0
U5779,2026-02-28 21:00:00,view,0.0
U4743,2026-02-10 19:00:00,view,0.0
U2853,2026-02-21 11:00:00,purchase,133.37
U4457,2026-02-06 16:00:00,view,0.0
U3999,2026-02-18 01:00:00,view,0.0
U5737,2026-01-23 04:00:00,view,0.0
U4474,2026-02-22 11:00:00,view,0.0
U3777,2026-02-01 22:00:00,purchase,339.35
U1202,2026-01-17 05:00:00,view,0.0
U3327,2026-02-03 05:00:00,view,0.0
U2930,2026-01-16 00:00:00,add_to_cart,0.0
U4272,2026-01-06 15:00:00,view,0.0
U2794,2026-02-28 03:00:00,view,0.0
U2369,2026-01-19 19:00:00,view,0.0
U3911,2026-02-10 00:00:00,view,0.0
U2959,2026-01-18 07:00:00,view,0.0
U5736,2026-02-26 17:00:00,view,0.0
U5061,2026-01-07 15:00:00,view,0.0
